Método,Execução 1,Execução 2,Execução 3,Execução 4,Execução 5,Execução 6,Execução 7,Execução 8,Execução 9,Execução 10
Sequencial,329.73329999367706,394.7723000019323,531.1281000031158,377.0675999985542,353.16460000467487,351.9510000187438,321.1689000017941,316.51530001545325,354.31600001174957,322.2748000116553
Paralelo,918.6474000161979,830.2877999958582,904.9621000012849,2113.795499986736,3409.3283000111114,1502.6417000044603,825.5409999983385,792.11980002583,816.1555999831762,821.8585999857169
Sequencial,684.0817999909632,867.7304000011645,745.9369999996852,840.5912000162061,792.4608000030275,739.2271000135224,743.9066999941133,767.0864000101574,743.8405999855604,660.7055000204127
Paralelo,1167.103700019652,952.0073999883607,957.5690999918152,1042.8023000131361,1113.3094000106212,1333.9976999850478,1107.1844000252895,1080.6720999826211,1065.5509000062011,1104.1946000186726
Sequencial,1252.8400999726728,1082.3678000015207,1189.8868000134826,1125.552699988475,1347.0429000153672,1367.8544000140391,1219.6744999964722,1571.6162000026088,1221.1247000086587,1273.9848000055645
Paralelo,1311.7999999958556,1447.6114000135567,1283.3461000118405,1290.0328999967314,1234.291500004474,1374.9703000066802,1257.5748999952339,1301.4918999979272,1331.6427000099793,1455.9291999903508
Sequencial,1547.8489999950398,1697.8169000067282,1709.242400014773,1896.2542000226676,1803.7674000079278,1650.2785999909975,1824.277899984736,1651.1795000114944,1724.982399988221,1645.940199989127
Paralelo,1730.8418999891728,1558.8973000121769,1460.0076999922749,1439.7138000058476,1448.7001999805216,1373.8682999974117,1397.4538999900687,1400.3084000141826,1530.4867000086233,1443.7405000207946
Sequencial,1701.141199999256,1697.9321999824606,1767.5359999993816,1696.36260002153,1947.1552000031807,1838.5133999981917,2102.253999997629,1893.5607000021264,1706.1276999884285,1710.8365000167396
Paralelo,1621.4451999985613,1587.2302000061609,1628.8049999857321,1625.084400002379,1868.8522999873385,1795.3022999863606,1932.9754000063986,1620.6002999970224,1593.0132000066806,1583.7073999864515
Sequencial,0.13120000949129462,0.11839999933727086,0.11739999172277749,0.1170000177808106,0.11709998943842947,0.11709998943842947,0.11640001321211457,0.11629998334683478,0.15320000238716602,0.2720999764278531
Paralelo,635.551299987128,622.6466999796685,607.4990000051912,614.7600999975111,606.9832000066526,618.0930999980774,667.6992999855429,615.2916999999434,605.2678999840282,627.3023999819998
Sequencial,1.7349999980069697,1.721800013910979,1.7125000013038516,1.6940000059548765,1.6644999850541353,1.67119997786358,1.741599990054965,1.9710000196937472,2.2709000040777028,1.6857000009622425
Paralelo,623.3118000091054,609.3600000021979,611.5704999829177,611.0602999979164,624.5317999855615,644.9786000011954,616.0222000034992,599.8128000064753,621.1697999970056,607.973200007109
Sequencial,24.400199996307492,23.657699988689274,23.90870000817813,23.243999981787056,22.480699990410358,22.73979998426512,22.505000000819564,22.59879998746328,22.618499991949648,22.494199976790696
Paralelo,640.8040999958757,613.0242999934126,627.1980000019539,669.8174999910407,623.6688000208233,637.2325000120327,645.8704000106081,624.950199999148,630.536500015296,620.9004000120331
Sequencial,0.7469999836757779,0.7387999794445932,1.2270000006537884,0.880700012203306,0.7387000077869743,0.7348000071942806,0.7336999988183379,0.7345000049099326,0.7334999972954392,0.7367999933194369
Paralelo,615.9946999978274,660.5683999950998,623.526099981973,607.5884999881964,597.0988000044599,609.5693999959622,620.9460999816656,610.9067999932449,603.1561999989208,599.1215000103693
Sequencial,19.497100001899526,18.990699987625703,13.461499998811632,11.029999994207174,11.021999991498888,10.770299995783716,10.708700021496043,10.336200008168817,10.621900000842288,11.006599990651011
Paralelo,626.3595999917015,654.2271999933291,617.8792999999132,618.0955999880098,626.2249000137672,626.4576000103261,618.1991999910679,631.0368000122253,611.2810000195168,629.955999989761
